|ms_jaccard2|ms_jaccard3|ms_jaccard4|ms_jaccard5|tfidf_distance|fbd_1-6|fbd_7-12|forward_bleu2|backward_bleu2|ha_bleu2|forward_bleu3|backward_bleu3|ha_bleu3|forward_bleu4|backward_bleu4|ha_bleu4|forward_bleu5|backward_bleu5|ha_bleu5|self_bleu2|self_bleu3|self_bleu4|self_bleu5|rouge-1|rouge-2|rouge-l|bertscore_f1_l11|bertscore_f1_l12
baseline_beams5_p095_k3_t10_rep20|0.05725196364948871|0.018651423304411732|0.00564963894161349|0.0|0.07426705665424081|21.778777863617556|64.33053236252401|0.14792885898626068|0.17950054119884556|0.1621925840010095|0.05402480950935143|0.05607457782477179|0.05503061295167965|0.01816544976841091|0.01749608955953071|0.01782448778301901|0.007806769014700576|0.007812239773146653|0.007809503435821907|0.5755086539196588|0.4700143397982417|0.3916463624317266|0.3316827405891824|0.06388243294337066|0.0008019933546669602|0.061341211769569075|0.493827615754079|0.36395954631142696
s_kw_beams5_p095_k3_t10_rep20|0.23370949727263288|0.11925262461149462|0.06182364324707511|0.03259345979533749|0.010679247920849321|11.168065000973883|27.22435665842313|0.5668897625906496|0.3196666465652408|0.40880816495829725|0.3544125033951803|0.16970678574167652|0.2295134257581267|0.21424531089408252|0.08614255434439662|0.12287872096346933|0.12871040063938632|0.04363140563589795|0.06517067241230805|0.7320517337670643|0.6059718466126742|0.4965787851642997|0.40824154451592987|0.16923622814071856|0.021960907551385148|0.16032328220274936|0.681308659456544|0.6129001550755259
s_kw_beams1_p07_k0_t07_rep20|0.08129103788610592|0.03309843295857661|0.012658052376333594|0.005197105779836721|0.05164225757318244|18.02928673693532|44.956562982321216|0.2548028480097981|0.19613398715322292|0.2216518794703981|0.10904163996501283|0.08640530540432956|0.09641262169803931|0.04575548414113869|0.03314265270567495|0.038440910796514474|0.018489618072171223|0.013789718914672672|0.01579751381875099|0.42664812104817584|0.23062300380479506|0.12926431820900267|0.07768547753872532|0.11328918991820747|0.002383130968487375|0.10095941834588412|0.6038825057320676|0.4877728562233812
s_kw_beams1_p095_k0_t07_rep20|0.08491970371235494|0.03459404101513663|0.013266145613184508|0.00498448051021514|0.04718203864714845|18.841082995695167|47.86408422379529|0.23419470673969645|0.2078901680818455|0.2202598628494023|0.09396826434699593|0.0914161361179859|0.0926746330626509|0.036811362480544216|0.03523726961060657|0.03600712093519457|0.01483813097999461|0.01377982201284064|0.014289408048069155|0.35320286696389663|0.16368389613087211|0.07708437474253646|0.04021073227698313|0.1120716394803732|0.003153619339232928|0.10117953032130883|0.6014043688774109|0.48542437058384136
s_kw_beams1_p07_k0_t10_rep20|0.07474529471689147|0.02879252919524884|0.010761238896549069|0.004022059821431397|0.05581109320115888|19.412630539234666|50.817628166805726|0.20149913976439854|0.20023906013158832|0.20086712378455981|0.07695749164937861|0.08398709975186179|0.08031877892306256|0.02871042195995633|0.029569634232516042|0.029133694491075623|0.011636597953071304|0.011756847944881287|0.011696413886758754|0.27944472788234576|0.11239391175930949|0.04376098114965634|0.02072598639974514|0.0984599991791408|0.002566621133938524|0.08823353661789197|0.5903188060905974|0.4714035992905245
s_kw_beams4_p095_k0_t10_rep20|0.23698574969461805|0.12172860979344756|0.06290322456366239|0.03314733521141292|0.010681123485853627|10.62225137315632|25.634300241196872|0.5695740928967628|0.34915690161079943|0.4329248206548416|0.34729096457835434|0.18503019638670737|0.24143062531184822|0.2040999753518214|0.09403780266871818|0.12875331220522182|0.11690741796819232|0.047306670811579125|0.06735720154523347|0.70589882837518|0.55290802135903|0.42121736740040117|0.319972638512096|0.1673010985091819|0.019360760089005592|0.1567897635811817|0.684034829422579|0.613934240603851
s_kw_beams1_p095_k0_t10_rep20|0.0625180800585797|0.022198637152272216|0.008059916565113642|0.002905051660259448|0.059649780331909666|20.047880333795625|49.833348592812655|0.15411091516441203|0.18104487666071287|0.16649565550440215|0.052244801990944424|0.06892890447885575|0.05943825720719459|0.019657809636711324|0.024385610396020583|0.021767959285801507|0.008606655591128809|0.010017157015854483|0.00925849311922219|0.1775819571468875|0.05446758474207753|0.020626235503699925|0.01088637199980767|0.08437503951526068|0.002162768593586448|0.0754875693076389|0.5937412916603735|0.4709185922549943
s_kw_beams1_p07_k0_t13_rep20|0.04878927543956888|0.015168152147724098|0.005385690448581199|0.00195854482684109|0.06714343121013482|21.240429202000925|53.21588468934024|0.1222099122795667|0.16077129755644906|0.13886325655920015|0.03355205821060721|0.055357086863624505|0.04178072344002952|0.012616362620938187|0.02141401043998847|0.01587798760805556|0.006075015242209116|0.0090450985506123|0.007268346298867343|0.1300763686650426|0.030864359038115425|0.011167086265733532|0.005426913800477716|0.07405271934089296|0.0015951919102905672|0.06694232244937089|0.5858601048841314|0.46332670217853483
s_kw_beams1_p095_k0_t13_rep20|0.033716727508966475|0.007803131853905187|0.0014924484971283116|0.0|0.06654540180146921|22.30653872694417|54.201263541399435|0.08030536310921944|0.12472483765816389|0.09770339529873473|0.01854655076265514|0.03170770472601317|0.0234037316661028|0.006852186306404036|0.009759459416609472|0.008051415890690673|0.0037141031491591597|0.004765085249846917|0.004174460408154828|0.07671779000627633|0.016792217719089605|0.0072448958979889|0.0038134511380688873|0.06229824592802234|0.000562724460821955|0.05572303719192157|0.5834934620533959|0.4548373257709762
s_kw_beams4_p07_k0_t10_rep20|0.2398442546643104|0.12410757331443494|0.06494504918781838|0.03415019594359826|0.01040681932664185|||||||||||||||||||||||
s_kw_ner_beams5_p095_k3_t10_rep20|0.2125747054021352|0.1071839356140715|0.05522319023424428|0.028561124982021374|0.011588985737863402|12.170797994688854|30.320994301258622|0.5468777384593846|0.3333921812250831|0.41424739846561826|0.32390673511684764|0.1712186922531298|0.2240195495241511|0.1855805119333305|0.08795747820314948|0.11934864203075331|0.10332383313159922|0.043687972678672346|0.06141015374961972|0.756048947250123|0.6283014737924315|0.5156941704052139|0.42246331099213774|0.15642109952127384|0.01652288908736258|0.14892791737214836|0.6722543088056273|0.6002159371214398
